Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Class,MINUTES
Bruno Mars,That's What I Like (feat. Gucci Mane),60,0.854,0.564,1,-4.964,1,0.0485,0.0171,,0.0849,0.899,134.071,4,5,3.909933333
Boston,Hitch a Ride,54,0.382,0.814,3,-7.23,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,4,10,4.19555
The Raincoats,No Side to Fall In,35,0.434,0.614,6,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,4,6,1.827783333
Deno,Lingo (feat. J.I & Chunkz),66,0.853,0.597,10,-6.528,0,0.0555,0.0212,,0.122,0.569,107.033,4,5,2.899466667
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53,0.167,0.975,2,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,4,10,3.832666667
The Stooges,Search and Destroy - Iggy Pop Mix,53,0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,4,6,3.468883333
Solomon Burke,None Of Us Are Free,48,0.674,0.658,5,-9.647,0,0.104,0.404,1.34E-06,0.0981,0.677,143.292,4,2,5.489783333
Randy Travis,On the Other Hand,55,0.657,0.415,5,-9.915,1,0.025,0.175,5.65E-06,0.132,0.347,96.03,4,4,3.105783333
Professional Murder Music,Slow,29,0.431,0.776,10,-5.403,1,0.0527,2.21E-05,0.0013,0.179,0.318,120.857,4,8,3.96445
Dudu Aharon,"דודו, יאללה יאללה",14,0.716,0.885,1,-4.348,0,0.0333,0.0614,,0.253,0.833,128.043,4,9,2.734883333
Mohammed Rafi,Meri Dosti Mera Pyar,11,0.491,0.563,7,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4,3,4.33045
Arctic Monkeys,The View From The Afternoon,59,0.387,0.922,9,-5.192,0,0.0674,0.00487,,0.187,0.417,146.478,4,10,3.715783333
Eyal Golan,קרובה אליי,34,0.585,0.381,1,-7.622,0,0.0463,0.435,,0.126,0.322,143.876,4,9,3.447916667
"Harald Lassen, Bram de Looze",How it feels pt. 2,34,0.462,0.374,11,-12.069,0,0.0331,0.949,0.929,0.131,0.174,122.939,3,7,4.44025
Buffalo Springfield,For What It's Worth,76,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4,10,2.56155
Elmore James,Madison Blues,37,0.431,0.852,2,-6.522,1,0.0431,0.564,0.208,0.254,0.794,67.601,4,2,2.446666667
Dudu Aharon,לא יכול בלעדייך,14,0.713,0.939,5,-3.609,0,0.0372,0.11,5.88E-06,0.331,0.88,108.034,4,9,2.988666667
Velvet Two Stripes,Drinks,31,0.564,0.801,1,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,4,10,2.57155
